Non-overlapping 14-day period,Region,Number_received_three_vaccines,Population
01/12/2021 -> 31/12/2021,North East,315245,381140
01/12/2021 -> 31/12/2021,North West,880790,1103660
01/12/2021 -> 31/12/2021,South East,1427720,1734275
01/12/2021 -> 31/12/2021,South West,862745,1014655
01/12/2021 -> 31/12/2021,East Midlands,431090,548365
01/12/2021 -> 31/12/2021,East of England,506975,632940
01/12/2021 -> 31/12/2021,London,387410,610030
01/12/2021 -> 31/12/2021,North East,261735,336415
01/12/2021 -> 31/12/2021,North West,592400,812580
01/12/2021 -> 31/12/2021,South East,617765,770065
01/12/2021 -> 31/12/2021,South West,432930,525790
01/12/2021 -> 31/12/2021,East Midlands,93680,139035
01/12/2021 -> 31/12/2021,East of England,118400,177050
01/12/2021 -> 31/12/2021,London,193765,373485
01/12/2021 -> 31/12/2021,North East,44825,60140
01/12/2021 -> 31/12/2021,North West,114245,174635
01/12/2021 -> 31/12/2021,South East,169530,247335
01/12/2021 -> 31/12/2021,South West,97650,133625
01/12/2021 -> 31/12/2021,East Midlands,3740,9040
01/12/2021 -> 31/12/2021,East of England,9285,23245
01/12/2021 -> 31/12/2021,London,53405,146660
01/12/2021 -> 31/12/2021,North East,2690,7205
01/12/2021 -> 31/12/2021,North West,9245,27795
01/12/2021 -> 31/12/2021,South East,9065,18775
01/12/2021 -> 31/12/2021,South West,2765,5440
01/12/2021 -> 31/12/2021,East Midlands,9330,28485
01/12/2021 -> 31/12/2021,East of England,18565,46340
01/12/2021 -> 31/12/2021,London,96680,317830
01/12/2021 -> 31/12/2021,North East,2080,5750
01/12/2021 -> 31/12/2021,North West,11705,35970
01/12/2021 -> 31/12/2021,South East,23330,58250
01/12/2021 -> 31/12/2021,South West,5515,14175
01/12/2021 -> 31/12/2021,East Midlands,9125,21125
01/12/2021 -> 31/12/2021,East of England,11440,26075
01/12/2021 -> 31/12/2021,London,67740,217000
01/12/2021 -> 31/12/2021,North East,450,825
01/12/2021 -> 31/12/2021,North West,6245,14940
01/12/2021 -> 31/12/2021,South East,12385,26100
01/12/2021 -> 31/12/2021,South West,5085,10575
01/12/2021 -> 31/12/2021,East Midlands,6530,11095
01/12/2021 -> 31/12/2021,East of England,12800,19425
01/12/2021 -> 31/12/2021,London,43860,69760
01/12/2021 -> 31/12/2021,North East,3695,6390
01/12/2021 -> 31/12/2021,North West,15365,23955
01/12/2021 -> 31/12/2021,South East,20205,30165
01/12/2021 -> 31/12/2021,South West,7400,11035
01/12/2021 -> 31/12/2021,East Midlands,82010,126805
01/12/2021 -> 31/12/2021,East of England,48780,68470
01/12/2021 -> 31/12/2021,London,243545,364485
01/12/2021 -> 31/12/2021,North East,6580,10050
01/12/2021 -> 31/12/2021,North West,38875,73905
01/12/2021 -> 31/12/2021,South East,81215,117165
01/12/2021 -> 31/12/2021,South West,15635,23305
01/12/2021 -> 31/12/2021,East Midlands,17355,45540
01/12/2021 -> 31/12/2021,East of England,28200,63945
01/12/2021 -> 31/12/2021,London,73080,194070
01/12/2021 -> 31/12/2021,North East,6220,13050
01/12/2021 -> 31/12/2021,North West,23935,63000
01/12/2021 -> 31/12/2021,South East,44990,94495
01/12/2021 -> 31/12/2021,South West,20735,42930
01/12/2021 -> 31/12/2021,East Midlands,20610,42955
01/12/2021 -> 31/12/2021,East of England,36715,65125
01/12/2021 -> 31/12/2021,London,201720,441525
01/12/2021 -> 31/12/2021,North East,6840,13310
01/12/2021 -> 31/12/2021,North West,24425,55690
01/12/2021 -> 31/12/2021,South East,70080,118430
01/12/2021 -> 31/12/2021,South West,18790,32650
01/12/2021 -> 31/12/2021,East Midlands,11135,33565
01/12/2021 -> 31/12/2021,East of England,15690,46765
01/12/2021 -> 31/12/2021,London,54890,143555
01/12/2021 -> 31/12/2021,North East,5105,13435
01/12/2021 -> 31/12/2021,North West,38060,128795
01/12/2021 -> 31/12/2021,South East,25570,67595
01/12/2021 -> 31/12/2021,South West,3470,7835
01/12/2021 -> 31/12/2021,East Midlands,2058885,2827875
01/12/2021 -> 31/12/2021,East of England,2630140,3592100
01/12/2021 -> 31/12/2021,London,1528710,2257945
01/12/2021 -> 31/12/2021,North East,1207025,1748410
01/12/2021 -> 31/12/2021,North West,2880050,4294840
01/12/2021 -> 31/12/2021,South East,3886445,5270435
01/12/2021 -> 31/12/2021,South West,2696715,3609710
01/12/2021 -> 31/12/2021,East Midlands,49565,113535
01/12/2021 -> 31/12/2021,East of England,109665,216445
01/12/2021 -> 31/12/2021,London,302175,641700
01/12/2021 -> 31/12/2021,North East,13780,27695
01/12/2021 -> 31/12/2021,North West,68500,134125
01/12/2021 -> 31/12/2021,South East,170560,312565
01/12/2021 -> 31/12/2021,South West,67790,127845
01/12/2021 -> 31/12/2021,East Midlands,313405,565760
01/12/2021 -> 31/12/2021,East of England,449980,758740
01/12/2021 -> 31/12/2021,London,393560,922670
01/12/2021 -> 31/12/2021,North East,179820,323460
01/12/2021 -> 31/12/2021,North West,418955,868970
01/12/2021 -> 31/12/2021,South East,671515,1119565
01/12/2021 -> 31/12/2021,South West,443420,711645
01/12/2021 -> 31/12/2021,East Midlands,403730,619460
01/12/2021 -> 31/12/2021,East of England,556225,820350
01/12/2021 -> 31/12/2021,London,463345,965965
01/12/2021 -> 31/12/2021,North East,220680,352385
01/12/2021 -> 31/12/2021,North West,515220,920995
01/12/2021 -> 31/12/2021,South East,819570,1201225
01/12/2021 -> 31/12/2021,South West,563235,787785
01/12/2021 -> 31/12/2021,East Midlands,487935,685710
01/12/2021 -> 31/12/2021,East of England,619800,859570
01/12/2021 -> 31/12/2021,London,527925,961075
01/12/2021 -> 31/12/2021,North East,255160,376805
01/12/2021 -> 31/12/2021,North West,634555,980760
01/12/2021 -> 31/12/2021,South East,926390,1278700
01/12/2021 -> 31/12/2021,South West,605250,806725
01/12/2021 -> 31/12/2021,East Midlands,517605,687025
01/12/2021 -> 31/12/2021,East of England,639355,869050
01/12/2021 -> 31/12/2021,London,592105,958650
01/12/2021 -> 31/12/2021,North East,287625,390940
01/12/2021 -> 31/12/2021,North West,740400,1028735
01/12/2021 -> 31/12/2021,South East,952925,1267355
01/12/2021 -> 31/12/2021,South West,610980,799980
01/12/2021 -> 31/12/2021,East Midlands,545585,702050
01/12/2021 -> 31/12/2021,East of England,655885,860220
01/12/2021 -> 31/12/2021,London,688860,986185
01/12/2021 -> 31/12/2021,North East,311175,402545
01/12/2021 -> 31/12/2021,North West,807300,1053580
01/12/2021 -> 31/12/2021,South East,973435,1247170
01/12/2021 -> 31/12/2021,South West,621000,779355
01/12/2021 -> 31/12/2021,East Midlands,2185165,3077440
01/12/2021 -> 31/12/2021,East of England,2823635,3948450
01/12/2021 -> 31/12/2021,London,2211925,3783830
01/12/2021 -> 31/12/2021,North East,1236060,1804450
01/12/2021 -> 31/12/2021,North West,3028500,4631275
01/12/2021 -> 31/12/2021,South East,4183540,5789275
01/12/2021 -> 31/12/2021,South West,2792755,3773495
01/12/2021 -> 31/12/2021,East Midlands,83075,182545
01/12/2021 -> 31/12/2021,East of England,97625,219475
01/12/2021 -> 31/12/2021,London,453880,1010720
01/12/2021 -> 31/12/2021,North East,18405,41660
01/12/2021 -> 31/12/2021,North West,87900,221750
01/12/2021 -> 31/12/2021,South East,160305,324720
01/12/2021 -> 31/12/2021,South West,51115,112005
01/12/2021 -> 31/12/2021,East Midlands,332225,422520
01/12/2021 -> 31/12/2021,East of England,492345,629625
01/12/2021 -> 31/12/2021,London,516015,755925
01/12/2021 -> 31/12/2021,North East,152285,195925
01/12/2021 -> 31/12/2021,North West,459105,606185
01/12/2021 -> 31/12/2021,South East,841585,1072585
01/12/2021 -> 31/12/2021,South West,464855,577165
01/12/2021 -> 31/12/2021,East Midlands,543855,725935
01/12/2021 -> 31/12/2021,East of England,753050,1009830
01/12/2021 -> 31/12/2021,London,724990,1162445
01/12/2021 -> 31/12/2021,North East,289740,392045
01/12/2021 -> 31/12/2021,North West,756330,1074280
01/12/2021 -> 31/12/2021,South East,1209855,1610750
01/12/2021 -> 31/12/2021,South West,733630,953280
01/12/2021 -> 31/12/2021,East Midlands,232110,321800
01/12/2021 -> 31/12/2021,East of England,319130,440515
01/12/2021 -> 31/12/2021,London,293700,509090
01/12/2021 -> 31/12/2021,North East,145095,205005
01/12/2021 -> 31/12/2021,North West,355930,534910
01/12/2021 -> 31/12/2021,South East,472535,646965
01/12/2021 -> 31/12/2021,South West,293770,387920
01/12/2021 -> 31/12/2021,East Midlands,278655,409315
01/12/2021 -> 31/12/2021,East of England,403660,603510
01/12/2021 -> 31/12/2021,London,323355,626315
01/12/2021 -> 31/12/2021,North East,118715,182210
01/12/2021 -> 31/12/2021,North West,364620,595180
01/12/2021 -> 31/12/2021,South East,579050,854640
01/12/2021 -> 31/12/2021,South West,420505,583970
01/12/2021 -> 31/12/2021,East Midlands,224575,324040
01/12/2021 -> 31/12/2021,East of England,248650,362435
01/12/2021 -> 31/12/2021,London,162670,306280
01/12/2021 -> 31/12/2021,North East,132710,193050
01/12/2021 -> 31/12/2021,North West,290145,450320
01/12/2021 -> 31/12/2021,South East,333720,486105
01/12/2021 -> 31/12/2021,South West,243115,341955
01/12/2021 -> 31/12/2021,East Midlands,284815,439795
01/12/2021 -> 31/12/2021,East of England,323525,491135
01/12/2021 -> 31/12/2021,London,253695,513995
01/12/2021 -> 31/12/2021,North East,178395,279800
01/12/2021 -> 31/12/2021,North West,398710,673360
01/12/2021 -> 31/12/2021,South East,425610,643285
01/12/2021 -> 31/12/2021,South West,322610,471030
01/12/2021 -> 31/12/2021,East Midlands,299365,460290
01/12/2021 -> 31/12/2021,East of England,291135,447655
01/12/2021 -> 31/12/2021,London,200545,409980
01/12/2021 -> 31/12/2021,North East,188120,285250
01/12/2021 -> 31/12/2021,North West,374295,627185
01/12/2021 -> 31/12/2021,South East,350670,541655
01/12/2021 -> 31/12/2021,South West,279255,411120
01/12/2021 -> 31/12/2021,East Midlands,40335,93145
01/12/2021 -> 31/12/2021,East of England,45380,100960
01/12/2021 -> 31/12/2021,London,91700,290210
01/12/2021 -> 31/12/2021,North East,33815,80275
01/12/2021 -> 31/12/2021,North West,69550,189145
01/12/2021 -> 31/12/2021,South East,58270,126175
01/12/2021 -> 31/12/2021,South West,37145,76185
01/12/2021 -> 31/12/2021,East Midlands,32345,63155
01/12/2021 -> 31/12/2021,East of England,44390,82225
01/12/2021 -> 31/12/2021,London,99140,220310
01/12/2021 -> 31/12/2021,North East,15600,32515
01/12/2021 -> 31/12/2021,North West,47715,102455
01/12/2021 -> 31/12/2021,South East,72560,131865
01/12/2021 -> 31/12/2021,South West,49030,82890
01/12/2021 -> 31/12/2021,East Midlands,5515,8525
01/12/2021 -> 31/12/2021,East of England,10390,15690
01/12/2021 -> 31/12/2021,London,28435,46740
01/12/2021 -> 31/12/2021,North East,2470,3925
01/12/2021 -> 31/12/2021,North West,8585,13685
01/12/2021 -> 31/12/2021,South East,20275,30560
01/12/2021 -> 31/12/2021,South West,9545,14485
01/12/2021 -> 31/12/2021,East Midlands,1457950,1934715
01/12/2021 -> 31/12/2021,East of England,1861260,2484740
01/12/2021 -> 31/12/2021,London,1334295,2308725
01/12/2021 -> 31/12/2021,North East,919070,1266285
01/12/2021 -> 31/12/2021,North West,2268295,3302730
01/12/2021 -> 31/12/2021,South East,2771990,3665900
01/12/2021 -> 31/12/2021,South West,1834765,2348810
01/12/2021 -> 31/12/2021,East Midlands,50025,67695
01/12/2021 -> 31/12/2021,East of England,32460,44475
01/12/2021 -> 31/12/2021,London,184535,269500
01/12/2021 -> 31/12/2021,North East,3160,4680
01/12/2021 -> 31/12/2021,North West,18320,24950
01/12/2021 -> 31/12/2021,South East,50510,71645
01/12/2021 -> 31/12/2021,South West,7785,11005
01/12/2021 -> 31/12/2021,East Midlands,2125,2800
01/12/2021 -> 31/12/2021,East of England,23575,28575
01/12/2021 -> 31/12/2021,London,61865,87090
01/12/2021 -> 31/12/2021,North East,1110,2740
01/12/2021 -> 31/12/2021,North West,13025,18925
01/12/2021 -> 31/12/2021,South East,10010,12605
01/12/2021 -> 31/12/2021,South West,3790,4855
01/12/2021 -> 31/12/2021,East Midlands,32310,91995
01/12/2021 -> 31/12/2021,East of England,38650,102810
01/12/2021 -> 31/12/2021,London,212850,620755
01/12/2021 -> 31/12/2021,North East,10755,28270
01/12/2021 -> 31/12/2021,North West,71990,231365
01/12/2021 -> 31/12/2021,South East,54300,132430
01/12/2021 -> 31/12/2021,South West,12880,30770
01/12/2021 -> 31/12/2021,East Midlands,556270,908335
01/12/2021 -> 31/12/2021,East of England,747870,1187655
01/12/2021 -> 31/12/2021,London,599845,1020390
01/12/2021 -> 31/12/2021,North East,247760,432045
01/12/2021 -> 31/12/2021,North West,560575,975780
01/12/2021 -> 31/12/2021,South East,1112250,1725115
01/12/2021 -> 31/12/2021,South West,762265,1170490
01/12/2021 -> 31/12/2021,East Midlands,9090,13775
01/12/2021 -> 31/12/2021,East of England,12510,19130
01/12/2021 -> 31/12/2021,London,19915,30925
01/12/2021 -> 31/12/2021,North East,3320,5170
01/12/2021 -> 31/12/2021,North West,8320,14015
01/12/2021 -> 31/12/2021,South East,18420,29400
01/12/2021 -> 31/12/2021,South West,14425,23390
01/12/2021 -> 31/12/2021,East Midlands,134820,199790
01/12/2021 -> 31/12/2021,East of England,185355,270355
01/12/2021 -> 31/12/2021,London,173865,325010
01/12/2021 -> 31/12/2021,North East,64395,98880
01/12/2021 -> 31/12/2021,North West,164110,265385
01/12/2021 -> 31/12/2021,South East,278625,403190
01/12/2021 -> 31/12/2021,South West,195800,277260
01/12/2021 -> 31/12/2021,East Midlands,20145,32375
01/12/2021 -> 31/12/2021,East of England,9180,14505
01/12/2021 -> 31/12/2021,London,50200,85370
01/12/2021 -> 31/12/2021,North East,2425,4130
01/12/2021 -> 31/12/2021,North West,3195,6190
01/12/2021 -> 31/12/2021,South East,27460,43150
01/12/2021 -> 31/12/2021,South West,2655,4420
01/12/2021 -> 31/12/2021,East Midlands,725805,942820
01/12/2021 -> 31/12/2021,East of England,998090,1307965
01/12/2021 -> 31/12/2021,London,7720,11310
01/12/2021 -> 31/12/2021,North East,263115,360280
01/12/2021 -> 31/12/2021,North West,438265,575910
01/12/2021 -> 31/12/2021,South East,1037765,1356230
01/12/2021 -> 31/12/2021,South West,994740,1278310
01/12/2021 -> 31/12/2021,East Midlands,1542430,2317170
01/12/2021 -> 31/12/2021,East of England,1923170,2859965
01/12/2021 -> 31/12/2021,London,2658100,4783245
01/12/2021 -> 31/12/2021,North East,991345,1485830
01/12/2021 -> 31/12/2021,North West,2678170,4277125
01/12/2021 -> 31/12/2021,South East,3306070,4757770
01/12/2021 -> 31/12/2021,South West,1849145,2607175
01/12/2021 -> 31/12/2021,East Midlands,1214670,1689670
01/12/2021 -> 31/12/2021,East of England,1564060,2167420
01/12/2021 -> 31/12/2021,London,1419805,2512845
01/12/2021 -> 31/12/2021,North East,680470,964935
01/12/2021 -> 31/12/2021,North West,1670565,2525305
01/12/2021 -> 31/12/2021,South East,2334975,3188955
01/12/2021 -> 31/12/2021,South West,1534040,2032445
01/12/2021 -> 31/12/2021,East Midlands,1053560,1570305
01/12/2021 -> 31/12/2021,East of England,1357195,2000505
01/12/2021 -> 31/12/2021,London,1246010,2281710
01/12/2021 -> 31/12/2021,North East,573995,881165
01/12/2021 -> 31/12/2021,North West,1445840,2327720
01/12/2021 -> 31/12/2021,South East,2008855,2925040
01/12/2021 -> 31/12/2021,South West,1309850,1853035
01/12/2021 -> 31/12/2021,East Midlands,12860,22470
01/12/2021 -> 31/12/2021,East of England,18120,31655
01/12/2021 -> 31/12/2021,London,40305,77955
01/12/2021 -> 31/12/2021,North East,5715,10960
01/12/2021 -> 31/12/2021,North West,18260,35420
01/12/2021 -> 31/12/2021,South East,30870,53005
01/12/2021 -> 31/12/2021,South West,21270,34455
01/12/2021 -> 31/12/2021,East Midlands,30800,46135
01/12/2021 -> 31/12/2021,East of England,43210,64240
01/12/2021 -> 31/12/2021,London,51520,98670
01/12/2021 -> 31/12/2021,North East,13425,19630
01/12/2021 -> 31/12/2021,North West,36140,59790
01/12/2021 -> 31/12/2021,South East,76985,114400
01/12/2021 -> 31/12/2021,South West,46225,65715
01/12/2021 -> 31/12/2021,East Midlands,1778175,2340455
01/12/2021 -> 31/12/2021,East of England,2246355,2942590
01/12/2021 -> 31/12/2021,London,1729025,2577230
01/12/2021 -> 31/12/2021,North East,942105,1268620
01/12/2021 -> 31/12/2021,North West,2435415,3437755
01/12/2021 -> 31/12/2021,South East,3335975,4321815
01/12/2021 -> 31/12/2021,South West,2181165,2755280
01/12/2021 -> 31/12/2021,East Midlands,231490,435510
01/12/2021 -> 31/12/2021,East of England,310665,566340
01/12/2021 -> 31/12/2021,London,421095,967510
01/12/2021 -> 31/12/2021,North East,108965,213320
01/12/2021 -> 31/12/2021,North West,301985,629650
01/12/2021 -> 31/12/2021,South East,503380,893240
01/12/2021 -> 31/12/2021,South West,346690,585695
01/12/2021 -> 31/12/2021,East Midlands,214940,415420
01/12/2021 -> 31/12/2021,East of England,302920,563100
01/12/2021 -> 31/12/2021,London,423865,1073175
01/12/2021 -> 31/12/2021,North East,184260,333560
01/12/2021 -> 31/12/2021,North West,324630,690440
01/12/2021 -> 31/12/2021,South East,396635,731540
01/12/2021 -> 31/12/2021,South West,248535,444340
01/12/2021 -> 31/12/2021,East Midlands,191080,563790
01/12/2021 -> 31/12/2021,East Midlands,213860,458325
01/12/2021 -> 31/12/2021,East Midlands,316845,484770
01/12/2021 -> 31/12/2021,East Midlands,489555,603615
01/12/2021 -> 31/12/2021,East Midlands,448510,502695
01/12/2021 -> 31/12/2021,East Midlands,393940,418065
01/12/2021 -> 31/12/2021,East Midlands,214455,228730
01/12/2021 -> 31/12/2021,East of England,232235,677895
01/12/2021 -> 31/12/2021,East of England,280505,591205
01/12/2021 -> 31/12/2021,East of England,427530,658605
01/12/2021 -> 31/12/2021,East of England,621535,764070
01/12/2021 -> 31/12/2021,East of England,559940,627910
01/12/2021 -> 31/12/2021,East of England,503995,534150
01/12/2021 -> 31/12/2021,East of England,295520,314085
01/12/2021 -> 31/12/2021,London,269065,939900
01/12/2021 -> 31/12/2021,London,337965,862290
01/12/2021 -> 31/12/2021,London,459350,896335
01/12/2021 -> 31/12/2021,London,568340,842820
01/12/2021 -> 31/12/2021,London,472870,604635
01/12/2021 -> 31/12/2021,London,347845,402145
01/12/2021 -> 31/12/2021,London,210375,246425
01/12/2021 -> 31/12/2021,North East,94875,315185
01/12/2021 -> 31/12/2021,North East,115405,265775
01/12/2021 -> 31/12/2021,North East,163745,262750
01/12/2021 -> 31/12/2021,North East,266690,335160
01/12/2021 -> 31/12/2021,North East,270445,303330
01/12/2021 -> 31/12/2021,North East,220875,233970
01/12/2021 -> 31/12/2021,North East,122435,129935
01/12/2021 -> 31/12/2021,North West,235045,854165
01/12/2021 -> 31/12/2021,North West,290100,730115
01/12/2021 -> 31/12/2021,North West,425000,724885
01/12/2021 -> 31/12/2021,North West,678120,886885
